[Friday/July 18/07/2025 02:02:31] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 27.mkv | length=1452.139 | time=1452.097
[Friday/July 18/07/2025 02:03:05] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 29.mkv | length=1452.055 | time=0
[Friday/July 18/07/2025 02:03:46] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 28.mkv | length=1452.097 | time=130.61
[Friday/July 18/07/2025 02:03:47] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 29.mkv | length=1452.055 | time=120.391
[Friday/July 18/07/2025 09:45:36] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 28.mkv | length=1452.097 | time=1452.055
[Friday/July 18/07/2025 09:47:20] ./[Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=252.085
[Friday/July 18/07/2025 11:21:25] [Anime Time] Attack On Titan - 28.mkv | length=1452.097 | time=10.74
[Friday/July 18/07/2025 12:44:00] [Anime Time] Attack On Titan - 28.mkv | length=1452.097 | time=1336.857
[Friday/July 18/07/2025 13:03:07] [Anime Time] Attack On Titan - 29.mkv | length=1452.055 | time=1452.013
[Friday/July 18/07/2025 13:04:56] [Anime Time] Attack On Titan - 30.mkv | length=1452.055 | time=132.904
[Friday/July 18/07/2025 13:08:09] [Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=1450.22
[Friday/July 18/07/2025 13:08:37] [Anime Time] Attack On Titan - 27.mkv | length=1452.139 | time=1315.085
[Friday/July 18/07/2025 13:08:53] [Anime Time] Attack On Titan - 28.mkv | length=1452.097 | time=243.097
[Friday/July 18/07/2025 13:10:23] [Anime Time] Attack On Titan - 29.mkv | length=1452.055 | time=1253.648
[Friday/July 18/07/2025 14:12:22] [Anime Time] Attack On Titan - 30.mkv | length=1452.055 | time=1331.852
[Friday/July 18/07/2025 14:13:23] [Anime Time] Attack On Titan - 31.mkv | length=1452.055 | time=1.105
[Friday/July 18/07/2025 14:29:41] [Anime Time] Attack On Titan - 31.mkv | length=1452.055 | time=97.577
[Friday/July 18/07/2025 14:54:11] [Anime Time] Attack On Titan - 31.mkv | length=1452.055 | time=351.873
[Friday/July 18/07/2025 14:54:20] [Anime Time] Attack On Titan - 31.mkv | length=1452.055 | time=0
[Saturday/July 19/07/2025 00:36:07] [Anime Time] Attack On Titan - 32.mkv | length=1452.097 | time=1452.055
[Saturday/July 19/07/2025 05:59:38] [Anime Time] Attack On Titan - 33.mkv | length=1451.972 | time=1202.347
[Saturday/July 19/07/2025 06:02:00] ./[Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=6.945
[Saturday/July 19/07/2025 06:03:02] [Anime Time] Attack On Titan - 33.mkv | length=1451.972 | time=1433.912
[Saturday/July 19/07/2025 11:40:43] [Anime Time] Attack On Titan - 34.mkv | length=1452.014 | time=57.745
[Saturday/July 19/07/2025 11:41:29] [Anime Time] Attack On Titan - 33.mkv | length=1451.972 | time=1382.903
[Saturday/July 19/07/2025 17:30:19] [Anime Time] Attack On Titan - 34.mkv | length=1452.014 | time=1421.524
[Saturday/July 19/07/2025 17:30:46] [Anime Time] Attack On Titan - 35.mkv | length=1452.181 | time=0
[Saturday/July 19/07/2025 17:52:11] [Anime Time] Attack On Titan - 36.mkv | length=1452.055 | time=0
[Saturday/July 19/07/2025 19:19:41] [Anime Time] Attack On Titan - 37.mkv | length=1422.067 | time=1421.358
[Saturday/July 19/07/2025 19:22:54] [Anime Time] Attack On Titan - 38.mkv | length=1436.039 | time=16.621
[Saturday/July 19/07/2025 19:23:03] [Anime Time] Attack On Titan - 38.mkv | length=1436.039 | time=0
[Saturday/July 19/07/2025 19:27:51] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 38.mkv | length=1436.039 | time=29.717
[Saturday/July 19/07/2025 19:28:07] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\NC\NCOP 01.mkv | length=91.029 | time=14.369
